,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
0,53,33855,33805,33732,33606,33409,33152,32873,32621,32428,32307,32261,32297,32416,32608,32848,33094,33294,33401,33393,33284,33119,32945,32790,32652,32529,1234,2022-03-06-23-48-48.843408,A1
1,53,32433,32385,32402,32483,32601,32700,32719,32622,32418,32154,31893,31681,31531,31444,31436,31553,31834,32288,32873,33487,33994,34288,34332,34170,33887,1235,2022-03-06-23-48-49.203395,A1
2,53,33556,33213,32874,32555,32277,32067,31940,31883,31848,31774,31626,31419,31213,31080,31058,31129,31246,31361,31459,31549,31649,31762,31858,31886,31805,1236,2022-03-06-23-48-49.607069,A1
3,53,31626,31408,31223,31115,31085,31099,31127,31158,31200,31272,31378,31494,31576,31596,31577,31593,31726,32017,32446,32945,33431,33839,34141,34334,34423,1237,2022-03-06-23-48-49.833306,A1
4,53,34401,34253,33979,33621,33252,32944,32735,32623,32583,32590,32633,32721,32858,33034,33212,33335,33361,33292,33167,33046,32971,32960,33003,33082,33181,1238,2022-03-06-23-48-50.191513,A1
5,53,33279,33358,33403,33398,33330,33197,33029,32865,32740,32662,32624,32611,32623,32663,32739,32853,33012,33213,33442,33679,33922,34170,34411,34617,34759,1239,2022-03-06-23-48-50.513152,A1
6,53,34824,34817,34762,34683,34594,34493,34356,34158,33900,33619,33365,33175,33053,32989,32976,33018,33119,33262,33412,33518,33535,33440,33249,33018,32808,1240,2022-03-06-23-48-50.865978,A1
7,53,32653,32553,32499,32489,32523,32600,32706,32812,32877,32857,32730,32508,32249,32017,31856,31786,31823,31985,32298,32767,33364,34020,34640,35124,35402,1241,2022-03-06-23-48-51.180735,A1
8,53,35464,35361,35160,34909,34642,34396,34208,34101,34078,34108,34134,34098,33964,33739,33483,33278,33181,33196,33284,33401,33516,33622,33724,33828,33925,1242,2022-03-06-23-48-51.496013,A1
9,53,33980,33951,33819,33604,33357,33131,32951,32817,32719,32658,32637,32656,32704,32751,32757,32691,32559,32415,32347,32420,32643,32971,33333,33657,33896,1243,2022-03-06-23-48-51.856220,A1
10,53,34030,34057,33974,33778,33462,33046,32584,32141,31769,31482,31274,31132,31048,31023,31061,31159,31294,31430,31529,31569,31562,31533,31510,31511,31537,1244,2022-03-06-23-48-52.170168,A1
11,53,31580,31636,31696,31737,31741,31699,31609,31470,31297,31118,30968,30862,30805,30797,30845,30943,31089,31292,31579,31962,32435,32970,33528,34046,34464,1245,2022-03-06-23-48-52.530483,A1
12,53,34745,34883,34891,34797,34639,34454,34263,34084,33919,33743,33520,33228,32879,32508,32167,31907,31758,31708,31715,31731,31723,31676,31593,31492,31400,1246,2022-03-06-23-48-52.889441,A1
13,53,31340,31326,31366,31465,31622,31821,32032,32230,32403,32559,32706,32856,33012,33170,33313,33428,33505,33543,33544,33515,33479,33472,33527,33657,33846,1247,2022-03-06-23-48-53.204429,A1
14,53,34057,34240,34348,34353,34262,34100,33903,33707,33539,33415,33338,33301,33285,33269,33236,33179,33103,33025,32964,32939,32954,33001,33059,33111,33136,1248,2022-03-06-23-48-53.519116,A1
15,53,33125,33074,32987,32875,32751,32624,32509,32413,32342,32295,32267,32249,32232,32210,32182,32152,32125,32102,32084,32070,32055,32040,32031,32040,32093,1249,2022-03-06-23-48-53.878739,A1
16,53,32225,32460,32801,33221,33668,34077,34389,34569,34613,34536,34370,34149,33908,33670,33454,33264,33098,32944,32801,32669,32558,32480,32442,32451,32497,1250,2022-03-06-23-48-54.193699,A1
17,53,32565,32641,32709,32756,32772,32753,32698,32610,32499,32374,32248,32124,32008,31898,31794,31693,31598,31509,31432,31364,31306,31254,31208,31173,31154,1251,2022-03-06-23-48-54.508645,A1
18,53,31164,31233,31389,31643,31985,32380,32770,33094,33303,33376,33319,33152,32905,32613,32311,32023,31766,31541,31349,31187,31056,30962,30913,30914,30965,1252,2022-03-06-23-48-54.868310,A1
19,53,31058,31180,31310,31432,31531,31600,31642,31657,31653,31637,31617,31596,31579,31570,31566,31564,31565,31572,31587,31615,31657,31711,31771,31834,31897,1253,2022-03-06-23-48-55.183131,A1
20,53,31956,32009,32057,32102,32154,32233,32377,32621,32980,33435,33942,34433,34836,35107,35229,35213,35086,34885,34643,34391,34151,33937,33754,33600,33471,1254,2022-03-06-23-48-55.497813,A1
21,53,33360,33263,33182,33123,33095,33107,33157,33236,33325,33406,33460,33478,33461,33414,33348,33271,33190,33107,33023,32938,32853,32767,32685,32609,32542,1255,2022-03-06-23-48-55.857557,A1
22,53,32486,32445,32417,32402,32397,32399,32399,32398,32392,32386,32388,32420,32514,32705,33007,33408,33867,34320,34698,34955,35067,35039,34894,34667,34398,1256,2022-03-06-23-48-56.172422,A1
23,53,34125,33875,33663,33488,33341,33211,33096,32994,32916,32872,32873,32923,33015,33136,33268,33388,33483,33546,33575,33577,33557,33520,33471,33416,33358,1257,2022-03-06-23-48-56.577184,A1
24,53,33299,33239,33178,33117,33055,32994,32937,32885,32844,32813,32795,32786,32786,32789,32788,32782,32773,32764,32769,32815,32936,33157,33477,33867,34275,1258,2022-03-06-23-48-56.847553,A1
25,53,34637,34897,35022,35012,34881,34660,34384,34085,33792,33521,33276,33056,32860,32687,32546,32446,32396,32396,32438,32508,32588,32655,32700,32716,32703,1259,2022-03-06-23-48-57.161756,A1
26,53,32664,32607,32536,32457,32371,32281,32190,32101,32015,31933,31853,31774,31697,31621,31546,31474,31407,31344,31282,31223,31167,31118,31087,31096,31173,1260,2022-03-06-23-48-57.521865,A1
27,53,31340,31600,31926,32276,32597,32838,32971,32991,32910,32750,32542,32314,32095,31901,31734,31591,31465,31353,31259,31195,31169,31188,31249,31343,31454,1261,2022-03-06-23-48-57.836940,A1
28,53,31566,31658,31720,31740,31723,31673,31606,31537,31476,31430,31397,31376,31360,31346,31335,31331,31337,31354,31384,31420,31459,31500,31543,31590,31637,1262,2022-03-06-23-48-58.241203,A1
29,53,31686,31736,31793,31875,32016,32256,32613,33077,33611,34151,34627,34985,35199,35268,35210,35054,34835,34588,34344,34124,33937,33781,33650,33536,33435,1263,2022-03-06-23-48-58.511022,A1
30,53,33349,33287,33257,33267,33316,33392,33479,33560,33619,33649,33649,33620,33570,33501,33419,33329,33236,33140,33045,32950,32861,32781,32714,32660,32621,1264,2022-03-06-23-48-58.826345,A1
31,53,32591,32568,32546,32523,32500,32476,32454,32434,32419,32415,32443,32538,32733,33037,33434,33878,34303,34644,34856,34926,34864,34702,34475,34223,33976,1265,2022-03-06-23-48-59.185937,A1
32,53,33755,33562,33394,33245,33110,32987,32883,32810,32781,32804,32874,32983,33105,33215,33291,33323,33315,33277,33226,33174,33128,33087,33049,33009,32963,1266,2022-03-06-23-48-59.500731,A1
33,53,32909,32851,32790,32731,32676,32629,32590,32561,32544,32538,32541,32550,32558,32560,32555,32544,32533,32540,32592,32722,32950,33272,33657,34055,34403,1267,2022-03-06-23-48-59.860355,A1
34,53,34653,34777,34774,34657,34452,34190,33907,33629,33376,33156,32969,32809,32670,32556,32474,32431,32436,32487,32573,32674,32770,32840,32874,32870,32838,1268,2022-03-06-23-49-00.175592,A1
35,53,32787,32725,32661,32595,32526,32454,32379,32301,32223,32151,32086,32028,31978,31936,31898,31865,31836,31809,31782,31753,31719,31682,31653,31652,31710,1269,2022-03-06-23-49-00.806107,A1
