,bytes,status,voltage,pai,counter,spo2,hr,time,takes
0,10,True,33,176,396,98,76,2022-03-06-23-48-40.775092,A1
1,10,True,33,176,397,98,76,2022-03-06-23-48-41.763301,A1
2,10,True,33,174,398,98,76,2022-03-06-23-48-42.751989,A1
3,10,True,33,202,399,98,76,2022-03-06-23-48-43.785768,A1
4,10,True,33,238,400,98,75,2022-03-06-23-48-44.773962,A1
5,10,True,33,268,401,98,75,2022-03-06-23-48-45.763209,A1
6,10,True,33,200,402,98,77,2022-03-06-23-48-46.752967,A1
7,10,True,33,178,403,98,78,2022-03-06-23-48-47.741359,A1
8,10,True,33,130,404,98,81,2022-03-06-23-48-48.775124,A1
9,10,True,33,142,405,98,82,2022-03-06-23-48-49.764530,A1
10,10,True,33,138,406,98,84,2022-03-06-23-48-50.753005,A1
11,10,True,33,174,407,98,85,2022-03-06-23-48-51.742330,A1
12,10,True,33,150,408,98,86,2022-03-06-23-48-52.776425,A1
13,10,True,33,164,409,98,87,2022-03-06-23-48-53.765836,A1
14,10,True,33,148,410,98,87,2022-03-06-23-48-54.755840,A1
15,10,True,33,160,411,98,87,2022-03-06-23-48-55.744695,A1
16,10,True,33,148,412,98,86,2022-03-06-23-48-56.779108,A1
17,10,True,33,132,413,98,84,2022-03-06-23-48-57.768463,A1
18,10,True,33,158,414,97,83,2022-03-06-23-48-58.757877,A1
19,10,True,33,150,415,98,83,2022-03-06-23-48-59.747452,A1
20,10,True,33,118,416,98,82,2022-03-06-23-49-00.738468,A1
21,10,True,33,126,417,98,81,2022-03-06-23-49-01.774179,A1
22,10,True,33,122,418,98,81,2022-03-06-23-49-02.764508,A1
23,10,True,33,120,419,98,80,2022-03-06-23-49-03.755090,A1
24,10,True,33,134,420,98,79,2022-03-06-23-49-04.745872,A1
25,10,True,33,132,421,97,79,2022-03-06-23-49-05.736380,A1
26,10,True,33,120,422,98,78,2022-03-06-23-49-06.771689,A1
